cid,duration,campaign,pdays,previous,poutcome
2,220,1,339,4,failure
3,185,1,330,1,failure
6,141,2,176,3,failure
10,313,1,147,2,failure
15,89,1,241,1,failure
18,114,1,152,2,failure
28,119,1,105,2,failure
39,765,1,342,2,failure
41,609,2,101,3,failure
66,134,1,170,5,failure
80,204,2,196,1,failure
84,398,2,460,2,failure
98,233,1,137,20,failure
102,553,1,367,7,failure
106,259,2,145,3,failure
114,76,2,207,1,failure
125,281,2,266,6,failure
129,176,1,288,3,failure
134,85,1,168,2,failure
137,54,1,345,2,failure
158,84,3,183,3,failure
165,676,2,146,2,failure
178,147,2,347,1,failure
180,65,2,119,1,failure
189,152,2,347,1,failure
203,768,2,141,3,failure
204,1337,4,126,1,failure
208,115,1,61,1,failure
209,60,1,271,1,failure
218,256,2,351,2,failure
233,195,3,351,10,failure
250,9,2,172,5,failure
254,84,3,265,2,failure
265,543,1,78,2,failure
271,297,1,28,3,failure
277,699,2,79,1,failure
302,383,2,188,5,failure
311,199,7,167,1,failure
315,223,3,89,2,failure
319,429,4,164,2,failure
326,425,1,462,1,failure
338,8,1,254,5,failure
341,164,1,176,1,failure
346,270,2,347,1,failure
350,323,2,364,1,failure
354,223,1,96,2,failure
355,1434,2,356,4,failure
368,245,1,149,2,failure
375,80,1,308,4,failure
376,131,6,363,9,failure
378,567,3,275,4,failure
381,53,1,325,1,failure
384,121,2,341,4,failure
395,332,2,358,2,failure
409,37,3,303,1,failure
410,161,1,98,2,failure
413,262,1,183,1,failure
422,551,1,351,1,failure
424,140,4,327,2,failure
434,156,1,337,3,failure
460,118,1,102,2,failure
466,722,1,99,4,failure
483,97,4,196,5,failure
497,172,1,370,1,failure
501,203,5,84,1,failure
511,168,1,212,2,failure
513,220,1,63,5,failure
516,103,1,325,4,failure
523,585,4,191,4,failure
529,109,1,360,2,failure
553,113,1,80,1,failure
564,35,1,176,1,failure
566,194,1,247,1,failure
573,427,1,150,1,failure
580,193,1,176,8,failure
597,58,2,382,1,failure
599,188,1,261,2,failure
615,236,1,336,1,failure
624,333,1,58,3,failure
630,237,1,206,2,failure
632,107,1,105,3,failure
648,249,3,112,2,failure
650,123,2,147,3,failure
651,199,2,146,2,failure
652,197,1,199,3,failure
666,986,1,94,8,failure
668,114,1,208,1,failure
672,200,1,253,1,failure
673,158,1,135,1,failure
686,126,2,149,8,failure
700,74,1,168,4,failure
714,224,1,322,3,failure
719,55,2,298,4,failure
732,79,1,172,8,failure
739,75,1,273,1,failure
765,335,2,281,8,failure
766,293,2,162,4,failure
770,238,3,323,2,failure
777,40,8,349,6,failure
799,279,1,117,1,failure
802,218,1,330,2,failure
803,74,2,256,1,failure
805,1259,2,333,18,failure
806,285,3,116,4,failure
822,159,2,271,1,failure
844,219,2,259,5,failure
858,254,2,353,1,failure
859,104,1,85,19,failure
870,102,6,349,1,failure
882,460,2,345,2,failure
884,119,3,371,3,failure
892,94,1,205,2,failure
893,192,2,92,2,failure
894,185,2,246,1,failure
902,45,2,169,2,failure
904,76,1,69,2,failure
914,41,2,266,2,failure
927,196,2,315,2,failure
943,317,1,169,2,failure
961,116,1,273,3,failure
968,144,1,266,2,failure
971,206,1,461,1,failure
974,7,11,351,1,failure
998,271,1,184,1,failure
1000,172,5,371,5,failure
1021,149,1,78,5,failure
1041,296,1,270,3,failure
1070,53,1,172,3,failure
1074,39,1,342,3,failure
1078,164,2,130,2,failure
1098,127,1,100,2,failure
1101,122,1,92,1,failure
1105,151,1,352,1,failure
1107,5,1,808,12,failure
1110,159,2,378,3,failure
1113,256,2,94,1,failure
